name,qid,gender
Antonio Maria da Siena,,
Alessandro Bombardieri,,
Marcello Giovanetti,Q3845601,male
Domenico Minghelli,,
Pier Cesare Longhi,,
Francesco Guerrini,,
Bernardino de Angelis,,
Filippo Finella,Q18945265,male
Carlo Noci,,
Lodovico Moro,,
Fabrizio Nanni,,
Paolo Richiedei,,
Giorgio Antonio Falier,,
Elia Vajani de' Borghi,,
Carlo Sanseverino,Q105649097,male
Angiolo Gabrieli,,
Tommaso Tomolini,,
Filoteo Cosmio,,
Fisso Promotore de' Signori Accademici Erranti di Brescia,,
Gasparo Furlani,,
Claudio Ottanello,,
Giovanni Dolfin,Q3107157,male
Cesare de' Cesari,,
Giovanni Capponi,Q22137914,male
Alessandro Spinello,,
Giulio Guazzini,,
Bernardo Luparini,,
Giammaria Cappelletti,,
Niccolò Machiavelli,Q1399,male
Giovanni Lorenzo Lucchesini,Q56006765,male
Girolamo Magagnati,Q24206468,male
Marcello Ferro,Q57337203,male
Camillo Lenzoni,,
Pietro Casnesio,,
Pietro Sanz,,
Lodovico Riccato,,
Giulio Cesare Malmignati,,
Carlo Bentivoglio,Q55225495,male
Giovanni Battista Abbati,Q110914659,male
Niccolò Barbieri,Q2055429,male
Francesco Coli,Q98110930,male
Borso Bonacossi,,
Nicolò Tani,,
Paolo Bartolucci,,
Giovanni Antonio de' Bonis,,
Virgilio Verucci,Q30333055,male
Quintilio Pizzuti,,
Niccolò Campani,Q3875842,male
Gabriele Antonio Lusino,,
Catullo detto Maretino,,
Domenico Manzini,,
Gennaro Sacchi,,
Falonio,,
Simone Falconio Pratoli,,
Bernardino Macio,,
Antonio Landi,Q3619733,male
Bernardino Bolzè,,
Dionigi Fiorilli,,
Tiberio Pulci,,
Ernando Tica,,
Francesco Maria Giovanardi,,
Sebastiano degli Antoni,,
Antonio Maria Consalvi,,
Desioso della Congrega degl'Insipidi di Siena,,
Francesco Frosini,Q3750015,male
Vincenzo Maria Orsoni,,
Antonio Cavallerino,Q3619393,male
Giovanni Leone Semproni,,
Girolamo Parabosco,Q29300,male
Carlo Tiberi,Q26710851,male
Agostino Zuccolo,,
Carlo Capece,,
Rafaele del Tauro,,
Pastore Monopolitano,,
Grisanto Reggiano,,
Muzio Manfredi,Q3868790,male
Inquieto Accademico Incognito,,
Giambatista Isabelli,,
Giovanni Simone Martini,,
Tommaso da Pesaro,,
Giambatista Giardini,,
Accademico Elisio fra Concordi di Ravenna,,
Stordito Accademico Insensato,,
Pier Giovanni Gottardi,,
Antonio Alamanni,Q2857170,male
Riccardo Riccardi,,
Gaspare Liviani,,
Riccardo Rodiano,,
Scipione Sgambati,Q97066392,male
Onofrio Giliberto,Q18945697,male
various authors,Q2818964,
Giulio Centralba,,
Giampietro Zanotti,Q3105136,male
Pietro Martire Scardona,,
Giovanni Biavi,Q3766833,male
Giulio Antonio Ridolfi,,
Giovanni Tommaso Ritondi,,
Antonio Caraccio,Q4214503,male
Pietro Aretino,Q296272,male
Ambrogio Passerotta,,
Giammaria Alessandrini di Lonzano,,
Angelo Baldalucchi,,
Clemente Girolamo Rota,,
Marco Petroccini,,
Giambattista Ancona,,
Giambatista Filippo Ghirardelli,,
Bonaventura Antonio Bravi,,
Bianco Bianchi,,
Niccolò Massucci,,
Giambatista Toschi,,
Giambattista Testi,,
Benedetto Mellini,Q81416547,male
Orazio Silvestri,Q3884932,male
Giuseppe de' Curti,,
Giambatista Boccabadati,,
Giovanni Andrea Lorenzani,Q52154085,male
Giovanni Battista Faggi,Q64493741,male
Francesco Domenici,,
Paolo Bozi,Q106704862,male
Gaspare Murtola,Q3098843,male
Ignazio Tedeschi e Paterno,,
Giovanni Battista Liviera,Q113686899,male
Girolamo Sartorelli,,
Annibale Marchese,Q98755031,male
Gian Tommaso Cangiano,,
Gaspare Licco,,
Francesco Dionigi,Q110039573,male
Francesco Leontino,,
Pietro Cioffi,,
un Religioso della Compagnia di Gesù,,
Giovanni Tommaso Cangiano,,
Niccolò Alfonso Viti,,
Domenico Treccio,,
Cesare  Sacchetti,Q102287313,male
Francesco Lorenzo Crotti,,
Girolamo Graziani,Q3768936,male
Francesco Arisi,Q41559595,male
Francesco De Lemene,Q3749878,male
Azzio Epibenio,,
Antonio Facchinelli,,
Vincenzo Galata,,
Gianandrea Lorenzani,,
Arcangelo Spagna,Q93233721,male
Nino Gagliardi,,
Pietr'Antonio Toniani,,
Udeno Inghirami,,
Agostino Moretto,,
Angelo Ingegneri,Q3617034,male
Giovanni Battista Bergazzano,,
Francesco Beverini,Q66736238,male
Leone Santi,Q107558344,male
Tancredi Cottone,,
Lorenzo Verzuso Beretti Landi,Q94935822,male
Giovanni Francesco Mignani,,
Alfonso Paioli,Q111232198,male
Felice Passero,Q110270055,male
Michele Zanardo,,
Pier Giovanni Brunetto,,
Giambatista Ancioni,,
Niccolò Montemellini,,
Federigo Ricciuoli,,
Federigo Pini,,
Gian Domenico Fillipeschi,,
F. V.,,
Cesare della Porta,,
Accademici di Salò,,
Strozzi Cicogna,Q55226727,male
Giulio Strozzi,Q3769792,male
Pietro Maria Valvason,,
Carlo Paceschi,,
Ercolano Ercolani,Q84603212,male
Giovanni Antonio Bianchi,Q5563671,male
Girolamo Rocco,,
Giuseppe Teodoli,,
Antonio da Pistoia,Q87656630,male
Giovanni Battista Recanati,Q15691232,male
Gentiluomo mantovano,,
Desiderio Cini,,
Fabio Tommaselli,,
Scipione Rota,,
Loreto Vittori,Q725197,male
Giovanni Battista Sarto,,
Giacomo Francesco Parisani,,
Confuso Accademico Ordito,,
Pompeo Interverio,,
Curzio Mannara,,
Ottavio della Rena,,
Paolo Moscardini,,
Antonio Franceschi,,
Giovanni Battista Crisci,,
Giovanni Briccio,Q3766896,male
Francesco Farina,,
Andrea Rossini,,
Giovanni Granelli,Q52154187,male
Girolamo Mercadanti,,
Marco Guazzo,Q3846186,male
Francesco Magnoni,,
Carlo Francesco Belli Badia,,
Ottavio Gigi,,
Francesco Antonio Ottati,,
Fabio Panezi,,
Orazio Vecchi,Q84146,male
Orfeo Buselli,,
Natale D'Amico,Q3870604,male
Barano Ramussatore,,
Francesco Bosellini,Q110223793,male
Paolo Salerno,,
un Gentiluomo Sanese,,
Marcello Ramignani,,
Angelo Griffoni,,
Giacomo Antonio Gatta,,
Giovan Giorgio Alione,Q3766129,male
Cesare Benassai,,
Gaspare Bragazzi,,
Alessandro Ciccolini,,
Antonio Santa Croce,,
Giovanni Battista Gregorace,,
Isabetta Coreglia,Q109860592,female
Giovanni Battista Corte,,
Dionisio Viola,,
Giuseppe Gallucci,,
Melchiorre de' Franciscis,,
Ermocrate Fabbrizi,,
Pasquale Malespina,,
Remìgio Nannini,Q21768292,male
Pietro Paolo Seta,,
Lorenzo Comparini,,
Lodovico Domenichi,Q3257803,male
Bernardino degli Azzi,,
Terence,Q172048,male
Andrea Abbaonio,,
Giovanni Fadini,,
Francesco Fozio,,
Giovanni Francesco Lupi,,
Eusebio Lucchetti,,
Giovanni Battista Pianelli,Q28382491,male
